,rating,date,title,content,helpful count
207,5,21.11.15,국밥 선택: 시그니처 불꽃국밥,,0
208,5,21.11.14,국밥 선택: 돼지국밥,,0
209,5,21.11.08,국밥 선택: 돼지국밥,,0
210,5,21.11.02,국밥 선택: 시그니처 불꽃국밥,,0
211,5,21.11.08,국밥 선택: 돼지국밥,,0
212,5,21.10.22,국밥 선택: 시그니처 불꽃국밥,,0
213,4,21.11.25,국밥 선택: 시그니처 불꽃국밥,,0
214,5,21.11.25,국밥 선택: 시그니처 불꽃국밥,,0
215,5,21.11.05,국밥 선택: 시그니처 불꽃국밥,,0
216,5,21.10.31,국밥 선택: 시그니처 불꽃국밥,,0
217,5,21.11.01,국밥 선택: 시그니처 불꽃국밥,,0
218,5,21.10.18,국밥 선택: 돼지국밥,,0
219,5,21.10.22,국밥 선택: 돼지국밥,,0
220,5,21.11.22,국밥 선택: 돼지국밥,,0
221,5,21.09.27,국밥 선택: 시그니처 불꽃국밥,,0
222,4,21.11.07,국밥 선택: 시그니처 불꽃국밥,,0
223,5,21.11.08,국밥 선택: 돼지국밥,,0
224,5,21.11.15,국밥 선택: 돼지국밥,,0
225,5,21.11.15,국밥 선택: 시그니처 불꽃국밥,,0
226,5,21.11.05,국밥 선택: 시그니처 불꽃국밥,,0
227,5,21.11.07,국밥 선택: 돼지국밥,,0
228,5,21.09.30,국밥 선택: 마라국밥,,1
229,5,21.10.14,국밥 선택: 시그니처 불꽃국밥,,0
230,5,21.10.29,국밥 선택: 시그니처 불꽃국밥,,0
231,5,21.10.22,국밥 선택: 시그니처 불꽃국밥,,0
232,5,21.10.22,국밥 선택: 돼지국밥,,0
233,5,21.11.05,국밥 선택: 돼지국밥,,0
234,5,21.11.04,국밥 선택: 시그니처 불꽃국밥,,0
235,5,21.08.28,국밥 선택: 시그니처 불꽃국밥,"잃어버린 형제를 찾은 맛 맑고 깊은 맛 선물하고 싶은 맛^^  실제 가게에서 먹는 맛을 최대한 지키려고 신경 쓰신거 같습니다 ㅎㅎㅎ 와이프가 대만족이라 하네요.</span></div><span class=""_2QRtghbCyu"">더보기",0
236,5,21.10.14,국밥 선택: 시그니처 불꽃국밥,,0
237,5,21.10.30,국밥 선택: 돼지국밥,,0
238,5,21.10.14,국밥 선택: 돼지국밥,,0
239,5,21.09.27,국밥 선택: 시그니처 불꽃국밥,,1
240,5,21.10.29,국밥 선택: 돼지국밥,,0
241,5,21.10.29,국밥 선택: 시그니처 불꽃국밥,,0
242,5,21.10.12,국밥 선택: 돼지국밥,,0
243,5,21.10.28,국밥 선택: 돼지국밥,,0
244,5,21.10.20,국밥 선택: 시그니처 불꽃국밥,,0
245,5,21.10.24,국밥 선택: 시그니처 불꽃국밥,,0
246,5,21.11.04,국밥 선택: 돼지국밥,,0
247,5,21.10.20,국밥 선택: 마라국밥,,0
248,5,21.10.20,국밥 선택: 시그니처 불꽃국밥,,0
249,5,21.10.28,국밥 선택: 시그니처 불꽃국밥,,0
250,5,21.09.29,국밥 선택: 돼지국밥,,0
251,5,21.09.26,국밥 선택: 시그니처 불꽃국밥,,0
252,5,21.10.21,국밥 선택: 시그니처 불꽃국밥,,0
253,5,21.10.15,국밥 선택: 시그니처 불꽃국밥,,0
254,5,21.10.20,국밥 선택: 마라국밥,,0
255,5,21.10.03,국밥 선택: 돼지국밥,,0
256,5,21.10.03,국밥 선택: 마라국밥,,0
257,5,21.10.16,국밥 선택: 시그니처 불꽃국밥,,0
258,5,21.10.15,국밥 선택: 시그니처 불꽃국밥,,0
259,5,21.10.21,국밥 선택: 돼지국밥,,0
260,5,21.09.27,국밥 선택: 시그니처 불꽃국밥,,0
261,5,21.10.02,국밥 선택: 돼지국밥,,0
262,5,21.10.02,국밥 선택: 시그니처 불꽃국밥,,0
263,5,21.09.27,국밥 선택: 돼지국밥,,0
264,5,21.09.29,국밥 선택: 시그니처 불꽃국밥,,0
265,5,21.09.19,국밥 선택: 시그니처 불꽃국밥,,0
266,5,21.09.24,국밥 선택: 돼지국밥,,0
267,3,21.08.19,국밥 선택: 돼지국밥,,0
268,5,21.10.20,국밥 선택: 돼지국밥,,0
269,5,21.09.25,국밥 선택: 시그니처 불꽃국밥,,0
270,5,21.10.10,국밥 선택: 시그니처 불꽃국밥,,0
271,5,21.09.25,국밥 선택: 돼지국밥,,0
272,5,21.10.16,국밥 선택: 돼지국밥,,0
273,5,21.07.24,국밥 선택: 돼지국밥,"경대 10학번 졸업생입니다. 신입생시절부터 군대 휴가나와서, 전역 후 대학생활 내내 식사와 해장을 책임져주었던 고마운 곳입니다. 졸업 후 경기도에 취업하게 되면서 못먹게 되었고, 항상 친구들에게 부산가면 형국 먹을거라고 하던 와중에 밀키트 출시를 알게 되었고 바로 주문했습니다. (첫 주문은 먹기 바빠서 사진을 못찍었고, 2번째 주문입니다)  10년전에 먹었던 그 맛 그대로입니다. 갈때마다 반겨주시는 사장 형님들, 같이 나오는 밑반찬 없이 먹어야 하는게 아쉽지만, 너무너무 그리워했던 그 맛 그대로인 것이 정말 좋습니다. 10년전에 그랬듯 앞으로 제 회사 생활에 해장은 또 형국이 책임져 줄 것 같습니다ㅎㅎㅎ  그리웠던 음식 출시해주셔서 감사합니다 형님들. 잘먹겠습니다</span></div><span class=""_2QRtghbCyu"">더보기",1
274,5,21.09.07,국밥 선택: 시그니처 불꽃국밥,,0
275,5,21.10.13,국밥 선택: 돼지국밥,,0
276,5,21.10.10,국밥 선택: 돼지국밥,,0
277,5,21.10.09,국밥 선택: 돼지국밥,,0
278,5,21.10.09,국밥 선택: 돼지국밥,,0
279,5,21.10.03,국밥 선택: 돼지국밥,,0
280,5,21.09.15,국밥 선택: 시그니처 불꽃국밥,,0
281,5,21.10.05,국밥 선택: 돼지국밥,,0
282,5,21.07.28,국밥 선택: 시그니처 불꽃국밥,,0
283,5,21.09.11,국밥 선택: 시그니처 불꽃국밥,,0
284,5,21.10.06,국밥 선택: 시그니처 불꽃국밥,,0
285,5,21.09.28,국밥 선택: 돼지국밥,,0
286,5,21.09.28,국밥 선택: 시그니처 불꽃국밥,,0
287,5,21.09.22,국밥 선택: 돼지국밥,,0
288,5,21.08.05,국밥 선택: 시그니처 불꽃국밥,,0
289,5,21.08.22,국밥 선택: 돼지국밥,,0
290,5,21.09.06,국밥 선택: 돼지국밥,,0
291,5,21.10.02,국밥 선택: 돼지국밥,,0
292,5,21.09.27,국밥 선택: 시그니처 불꽃국밥,,0
293,3,21.08.31,국밥 선택: 돼지국밥,,0
294,5,21.08.30,국밥 선택: 돼지국밥,,0
295,5,21.08.10,국밥 선택: 돼지국밥,,0
296,5,21.08.01,국밥 선택: 시그니처 불꽃국밥,,0
297,5,21.08.01,국밥 선택: 돼지국밥,,0
298,5,21.09.14,국밥 선택: 돼지국밥,,0
299,5,21.09.14,국밥 선택: 시그니처 불꽃국밥,,0
300,5,21.09.17,국밥 선택: 돼지국밥,,0
301,5,21.09.17,국밥 선택: 시그니처 불꽃국밥,,0
302,5,21.08.23,국밥 선택: 돼지국밥,,0
303,4,21.09.28,국밥 선택: 시그니처 불꽃국밥,,0
304,5,21.09.17,국밥 선택: 시그니처 불꽃국밥,,0
305,2,21.09.23,국밥 선택: 시그니처 불꽃국밥,,0
306,3,21.09.12,국밥 선택: 돼지국밥,,0
307,5,21.08.21,국밥 선택: 시그니처 불꽃국밥,,0
308,5,21.09.25,국밥 선택: 돼지국밥,,0
309,5,21.09.28,국밥 선택: 시그니처 불꽃국밥,,0
310,5,21.08.30,국밥 선택: 시그니처 불꽃국밥,,0
311,5,21.08.10,국밥 선택: 시그니처 불꽃국밥,,0
312,5,21.09.18,국밥 선택: 마라국밥,,0
313,5,21.09.16,국밥 선택: 시그니처 불꽃국밥,,0
314,5,21.09.16,국밥 선택: 돼지국밥,,0
315,5,21.08.28,국밥 선택: 시그니처 불꽃국밥,,0
316,5,21.08.22,국밥 선택: 시그니처 불꽃국밥,,0
317,5,21.08.08,국밥 선택: 시그니처 불꽃국밥,,0
318,5,21.08.22,국밥 선택: 돼지국밥,,0
319,5,21.09.10,국밥 선택: 돼지국밥,,0
320,5,21.09.27,국밥 선택: 돼지국밥,,0
321,5,21.09.16,국밥 선택: 시그니처 불꽃국밥,,0
322,5,21.09.17,국밥 선택: 돼지국밥,,0
323,5,21.07.21,국밥 선택: 시그니처 불꽃국밥,"슬라이스 고기와 적절히 맵싸한 풍미 1봉지가지고 두명이서 나눠 먹어도 될량까지 왜 이제서야 나타난거니 ? 진작에 주문 할껄 ㆍ 돼지특유의 향을 잡았군요  포장에 엽서에 요즘핫한 카페 포장 하것같아요 자주 이용하겠습니다  늘 노포만 댕겼는데 젋은분들이 운영하는곳이 더  잘하는것같아요</span></div><span class=""_2QRtghbCyu"">더보기",1
324,5,21.08.12,국밥 선택: 시그니처 불꽃국밥,,0
325,5,21.09.06,국밥 선택: 돼지국밥,,0
